"조회날짜","코드1","종목 코드","종목 명칭","종가","전일대비 등락","전일대비 등락률","시가","고가","저가","체결수량의 누적합","체결가격 * 체결수량 누적합","종가*상장좌수","상장좌수","기초지수 명칭","기초지수 종가","순자산총액"
20210531,069500,KR7069500007,KODEX 200,42760,165,.39,42730,42760,42430,4618216,197060482055,5496798000000,128550000,코스피 200,427.91,5423146904487
20210528,069500,KR7069500007,KODEX 200,42595,260,.61,42460,42760,42385,5215301,222231293820,5260482500000,123500000,코스피 200,425.95,5477254631699
20210527,069500,KR7069500007,KODEX 200,42335,-75,-.18,42440,42490,42035,13177331,556810966230,4972245750000,117450000,코스피 200,423,5225692443582
20210526,069500,KR7069500007,KODEX 200,42410,-85,-.2,42550,42670,42325,5204460,221067624020,4703269000000,110900000,코스피 200,423.54,4982172960446
20210525,069500,KR7069500007,KODEX 200,42495,400,.95,42310,42555,42210,5805624,246359976705,4812558750000,113250000,코스피 200,424.35,4713619768343
20210524,069500,KR7069500007,KODEX 200,42095,-120,-.28,42170,42340,41990,6106818,257406310545,4872496250000,115750000,코스피 200,420.57,4770628798482
20210521,069500,KR7069500007,KODEX 200,42215,-20,-.05,42470,42835,42130,8246703,349676347875,4694308000000,111200000,코스피 200,422.08,4893426743770
20210520,069500,KR7069500007,KODEX 200,42235,-135,-.32,42045,42345,41955,4215729,177854299670,4565603500000,108100000,코스피 200,421.68,4695836143514
20210518,069500,KR7069500007,KODEX 200,42370,495,1.18,42005,42435,42005,4389457,185776391700,4614093000000,108900000,코스피 200,423.09,4580000928657
20210517,069500,KR7069500007,KODEX 200,41875,-180,-.43,42295,42310,41640,5220610,218724359650,4568562500000,109100000,코스피 200,418.27,4561472105471
20210514,069500,KR7069500007,KODEX 200,42055,390,.94,41825,42200,41775,7032555,295366588470,4472549250000,106350000,코스피 200,420.17,4590109976831
20210513,069500,KR7069500007,KODEX 200,41665,-485,-1.15,41590,42090,41480,6430467,268494705955,4749810000000,114000000,코스피 200,416.07,4430914474206
20210512,069500,KR7069500007,KODEX 200,42150,-710,-1.66,42880,42880,41850,7015716,296195406610,4474222500000,106150000,코스피 200,421.86,4815789622448
20210511,069500,KR7069500007,KODEX 200,42860,-765,-1.75,43310,43385,42695,5376252,230610186535,4442439000000,103650000,코스피 200,428.77,4557418135724
20210510,069500,KR7069500007,KODEX 200,43625,720,1.68,43140,43730,43050,5371064,233827774355,4218537500000,96700000,코스피 200,435.63,4521390724581
20210507,069500,KR7069500007,KODEX 200,42905,275,.65,42695,43040,42635,4762435,204331090405,4157494500000,96900000,코스피 200,428.56,4149831363086
20210506,069500,KR7069500007,KODEX 200,42630,250,.59,42205,42650,42155,4079571,173705212230,4156425000000,97500000,코스피 200,426.64,4139614629521
20210504,069500,KR7069500007,KODEX 200,42380,355,.84,42070,42380,41930,4407448,185965520225,4085432000000,96400000,코스피 200,423.57,4135606754516
20210503,069500,KR7069500007,KODEX 200,42025,-270,-.64,42250,42630,41975,5093573,215162424365,4116348750000,97950000,코스피 200,420.36,4058002281384
20210430,069500,KR7069500007,KODEX 200,42295,-295,-.69,42525,42655,42135,5000310,211739452525,4142795250000,97950000,코스피 200,422.36,4142896042169
20210429,069500,KR7069500007,KODEX 200,42590,-145,-.34,42885,43020,42505,5172662,221104257650,4171690500000,97950000,코스피 200,426.28,4181445378292
20210428,069500,KR7069500007,KODEX 200,43405,-465,-1.06,43820,43825,43320,3886549,169029208480,4366543000000,100600000,코스피 200,427.48,4193089389033
20210427,069500,KR7069500007,KODEX 200,43870,50,.11,43860,43910,43680,4696932,205879927500,4329969000000,98700000,코스피 200,432.14,4421189329480
20210426,069500,KR7069500007,KODEX 200,43820,395,.91,43540,43830,43500,4703970,205733214250,4460876000000,101800000,코스피 200,432.36,4339665745993
20210423,069500,KR7069500007,KODEX 200,43425,25,.06,43170,43550,42925,4199882,182233168590,4683386250000,107850000,코스피 200,428.34,4435256798276
20210422,069500,KR7069500007,KODEX 200,43400,65,.15,43520,43690,43355,6251618,271891542430,4491900000000,103500000,코스피 200,427.37,4688385969013
20210421,069500,KR7069500007,KODEX 200,43335,-790,-1.79,43840,43905,43195,11608961,503765098120,4493839500000,103700000,코스피 200,426.75,4492855009988
20210420,069500,KR7069500007,KODEX 200,44125,275,.63,43760,44170,43760,5454369,240607378420,4697106250000,106450000,코스피 200,434.6,4583496201176
20210419,069500,KR7069500007,KODEX 200,43850,-5,-.01,43855,44120,43730,5106949,224442726885,4683180000000,106800000,코스피 200,431.96,4677000556676
20210416,069500,KR7069500007,KODEX 200,43855,-25,-.06,44025,44040,43715,5925140,259949463850,4549956250000,103750000,코스피 200,432.43,4697572142480
20210415,069500,KR7069500007,KODEX 200,43880,40,.09,43765,44135,43725,6682443,293398604945,4550356000000,103700000,코스피 200,432.66,4566174595147
20210414,069500,KR7069500007,KODEX 200,43840,300,.69,43660,43895,43480,6682250,292060089030,4675536000000,106650000,코스피 200,430.71,4543476789707
20210413,069500,KR7069500007,KODEX 200,43540,490,1.14,43060,43690,43045,4687090,203812595245,4732798000000,108700000,코스피 200,429.08,4655247032200
20210412,069500,KR7069500007,KODEX 200,43050,0,0,43200,43255,42950,5890537,253934456320,4838820000000,112400000,코스피 200,424.22,4691580874843
20210409,069500,KR7069500007,KODEX 200,43050,-205,-.47,43290,43475,42945,7187076,310176890230,4858192500000,112850000,코스피 200,424.3,4852175162266
20210408,069500,KR7069500007,KODEX 200,43255,-40,-.09,43230,43350,43065,5325846,230272572285,5004603500000,115700000,코스피 200,426.86,4900711507372
20210407,069500,KR7069500007,KODEX 200,43295,105,.24,43270,43445,43135,5107254,221136002215,5097986250000,117750000,코스피 200,426.7,5022725335596
20210406,069500,KR7069500007,KODEX 200,43190,60,.14,43380,43405,42960,4911544,212278282145,4994923500000,115650000,코스피 200,425.88,5102215486921
20210405,069500,KR7069500007,KODEX 200,43130,85,.2,43200,43260,42880,5186919,223561727765,4940541500000,114550000,코스피 200,424.85,4999306411043
20210402,069500,KR7069500007,KODEX 200,43045,475,1.12,42920,43190,42895,5352010,230445530640,4932957000000,114600000,코스피 200,423.74,4939091412968
20210401,069500,KR7069500007,KODEX 200,42570,385,.91,42485,42650,42315,5221705,222156542815,4814667000000,113100000,코스피 200,419.42,4891519169521
20210331,069500,KR7069500007,KODEX 200,42185,-115,-.27,42410,42695,42175,7237093,306821963975,4709955250000,111650000,코스피 200,415.04,4777667038625
20210330,069500,KR7069500007,KODEX 200,42300,470,1.12,41940,42455,41940,5099664,215601592100,4741830000000,112100000,코스피 200,416.61,4734566311089
20210329,069500,KR7069500007,KODEX 200,41830,-75,-.18,42050,42060,41670,6417371,268714517650,4743522000000,113400000,코스피 200,412.05,4695348903695
20210326,069500,KR7069500007,KODEX 200,41905,385,.93,41685,41955,41575,6635123,277566455115,4768789000000,113800000,코스피 200,412.89,4759365400024
20210325,069500,KR7069500007,KODEX 200,41520,180,.44,41230,41795,41210,9780916,405663749425,4724976000000,113800000,코스피 200,408.53,4726352841826
20210324,069500,KR7069500007,KODEX 200,41340,-190,-.46,41265,41515,41015,5672036,234404140920,4690023000000,113450000,코스피 200,407.1,4710709732356
20210323,069500,KR7069500007,KODEX 200,41530,-395,-.94,42180,42270,41485,6645759,277388673655,4823709500000,116150000,코스피 200,408.71,4714469352318
20210322,069500,KR7069500007,KODEX 200,41925,70,.17,42025,42095,41615,6345196,265753193295,4867492500000,116100000,코스피 200,412.64,4872594423057
20210319,069500,KR7069500007,KODEX 200,41855,-445,-1.05,41715,42075,41645,9277711,388305287530,4926333500000,117700000,코스피 200,412.91,4873984277408
20210318,069500,KR7069500007,KODEX 200,42300,305,.73,42320,42715,42300,8690814,369196989480,5010435000000,118450000,코스피 200,417.06,4990308684612
20210317,069500,KR7069500007,KODEX 200,41995,-335,-.79,42340,42355,41730,8129905,341172859805,5194781500000,123700000,코스피 200,414.01,4985895955507
20210316,069500,KR7069500007,KODEX 200,42330,350,.83,42180,42435,42090,5575783,235725803290,5225638500000,123450000,코스피 200,417.31,5247801205496
20210315,069500,KR7069500007,KODEX 200,41980,-205,-.49,42230,42315,41935,8495978,357507311195,5205520000000,124000000,코스피 200,414.18,5198457785232
20210312,069500,KR7069500007,KODEX 200,42185,370,.88,42255,42415,42015,6953557,293839176895,5283671250000,125250000,코스피 200,416.13,5246053954311
20210311,069500,KR7069500007,KODEX 200,41815,835,2.04,41145,41935,41130,6417962,267460808655,5170424750000,123650000,코스피 200,411.02,5234765114785
20210310,069500,KR7069500007,KODEX 200,40980,-235,-.57,41760,41760,40875,8187756,337508916205,5097912000000,124400000,코스피 200,403.48,5074034261528
20210309,069500,KR7069500007,KODEX 200,41215,-260,-.63,41485,41540,40565,11896444,488639162070,5123024500000,124300000,코스피 200,405.79,5133539603033
20210308,069500,KR7069500007,KODEX 200,41475,-395,-.94,42250,42250,41390,8296841,346173833025,5153268750000,124250000,코스피 200,408.34,5161197221461
20210305,069500,KR7069500007,KODEX 200,41870,-225,-.53,41470,42005,41235,10363864,431982631345,5175132000000,123600000,코스피 200,412,5204298980744
20210304,069500,KR7069500007,KODEX 200,42095,-545,-1.28,42095,42435,41790,6777655,285346043155,5154532750000,122450000,코스피 200,414.17,5204096744228
20210303,069500,KR7069500007,KODEX 200,42640,470,1.11,42070,42650,41925,6142052,260567807090,5231928000000,122700000,코스피 200,420.27,5231182706938
20210302,069500,KR7069500007,KODEX 200,42170,465,1.11,42705,42920,41835,8601611,364598093960,5138414500000,121850000,코스피 200,414.8,5174699306574
20210226,069500,KR7069500007,KODEX 200,41705,-1185,-2.76,41960,41995,41325,10297433,428760898900,5088010000000,122000000,코스피 200,409.91,5078863966125
20210225,069500,KR7069500007,KODEX 200,42890,1505,3.64,42010,42920,41960,8858726,376632746420,5213279500000,121550000,코스피 200,422.52,5239837824765
20210224,069500,KR7069500007,KODEX 200,41385,-900,-2.13,42250,42680,41350,10408909,436846427505,5044831500000,121900000,코스피 200,407.16,5032904160698
20210223,069500,KR7069500007,KODEX 200,42285,-45,-.11,42050,42615,41730,7733807,325943752925,5105913750000,120750000,코스피 200,415.82,5153548408543
20210222,069500,KR7069500007,KODEX 200,42330,-450,-1.05,43055,43260,42290,8518245,363276427210,5121930000000,121000000,코스피 200,416.88,5116736787463
20210219,069500,KR7069500007,KODEX 200,42780,370,.87,42440,42805,41720,9728222,411428065995,5490813000000,128350000,코스피 200,420.94,5176550074756
20210218,069500,KR7069500007,KODEX 200,42410,-615,-1.43,42950,43125,42385,8841408,377264650295,5481492500000,129250000,코스피 200,417.44,5445528608901
20210217,069500,KR7069500007,KODEX 200,43025,-470,-1.08,43255,43270,42735,17530618,752960197605,5498595000000,127800000,코스피 200,424.2,5571582578480
20210216,069500,KR7069500007,KODEX 200,43495,190,.44,43475,43870,43280,8542745,371703351650,5512991250000,126750000,코스피 200,429.24,5573668478968
20210215,069500,KR7069500007,KODEX 200,43305,625,1.46,43305,43510,43145,6603808,286361991960,5462925750000,126150000,코스피 200,427.01,5500304327795
20210210,069500,KR7069500007,KODEX 200,42680,295,.7,42525,42795,42095,6526416,277487956930,5381948000000,126100000,코스피 200,419.65,5380751764436
20210209,069500,KR7069500007,KODEX 200,42385,-145,-.34,42835,43145,42385,8236149,352167874760,5416803000000,127800000,코스피 200,417.91,5355709881364
20210208,069500,KR7069500007,KODEX 200,42530,-420,-.98,42905,43090,42475,7391704,315915071240,5901037500000,138750000,코스피 200,418.95,5441417903091
20210205,069500,KR7069500007,KODEX 200,42950,540,1.27,42660,43030,42385,13252969,566378907190,6053802500000,140950000,코스피 200,423.3,5968213702061
20210204,069500,KR7069500007,KODEX 200,42410,-720,-1.67,43030,43030,42125,18129738,769248198985,6100678500000,143850000,코스피 200,418.31,5993271566551
20210203,069500,KR7069500007,KODEX 200,43130,355,.83,43125,43405,42580,10276903,442166121935,6262476000000,145200000,코스피 200,425.21,6216271164190
20210202,069500,KR7069500007,KODEX 200,42775,625,1.48,42600,43400,42330,12520132,536873007270,6493245000000,151800000,코스피 200,421.03,6213681141226
20210201,069500,KR7069500007,KODEX 200,42150,1025,2.49,41000,42170,40705,10696458,446091393985,5983192500000,141950000,코스피 200,415.45,6410803271423
20210129,069500,KR7069500007,KODEX 200,41125,-945,-2.25,42555,42620,40910,13333276,555949253910,5837693750000,141950000,코스피 200,404.56,5840436818740
20210128,069500,KR7069500007,KODEX 200,42070,-790,-1.84,42155,42645,41830,10835668,456871890425,5971836500000,141950000,코스피 200,416.4,5994866390039
20210127,069500,KR7069500007,KODEX 200,42910,-145,-.34,43370,43805,42775,8780005,379271759730,5923725500000,138050000,코스피 200,423.67,6098552796866
20210126,069500,KR7069500007,KODEX 200,43055,-1205,-2.72,44160,44195,42855,10607621,459388395640,5980339500000,138900000,코스피 200,426.73,5980386423482
20210125,069500,KR7069500007,KODEX 200,44260,1035,2.39,43405,44320,43265,6385034,280656320010,5899858000000,133300000,코스피 200,437.3,6164608193270
20210122,069500,KR7069500007,KODEX 200,43225,-305,-.7,43675,43930,43225,13042949,566951288400,5805117500000,134300000,코스피 200,427.13,5778443219717
20210121,069500,KR7069500007,KODEX 200,43530,630,1.47,43300,43590,43010,9087554,393612197040,5600134500000,128650000,코스피 200,430.27,5864040175114
20210120,069500,KR7069500007,KODEX 200,42900,245,.57,43410,43495,42445,10680032,457746977360,5499780000000,128200000,코스피 200,424.01,5536571235370
20210119,069500,KR7069500007,KODEX 200,42655,1095,2.63,41785,42950,41590,9750896,413988374005,5410786750000,126850000,코스피 200,421.35,5483091210859
20210118,069500,KR7069500007,KODEX 200,41560,-990,-2.33,42095,42495,41455,11959669,501642575145,5269808000000,126800000,코스피 200,410.5,5287320926701
20210115,069500,KR7069500007,KODEX 200,42550,-955,-2.2,43735,44185,42535,11911736,512902640485,5435762500000,127750000,코스피 200,420.43,5411477488072
20210114,069500,KR7069500007,KODEX 200,43505,-55,-.13,43340,43830,43240,9091710,395584999430,5788340250000,133050000,코스피 200,429.85,5571126396031
20210113,069500,KR7069500007,KODEX 200,43560,245,.57,43360,43895,43015,11988847,521934502260,5976432000000,137200000,코스피 200,430.38,5809553698140
20210112,069500,KR7069500007,KODEX 200,43315,-340,-.78,43430,43725,42125,25494989,1093935754440,6133404000000,141600000,코스피 200,427.87,5956269703483
20210111,069500,KR7069500007,KODEX 200,43655,110,.25,44000,45370,42930,23107696,1019726637330,6196827250000,141950000,코스피 200,431.13,6193795051268
20210108,069500,KR7069500007,KODEX 200,43545,1845,4.42,42245,43785,42115,11521190,494420112265,6518686500000,149700000,코스피 200,430.22,6196278518911
