"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 04월 29일","157.37","161.73","162.08","157.06","926.04K","-3.19%"
"2022년 04월 28일","162.55","160.61","163.24","159.43","1.34M","1.56%"
"2022년 04월 27일","160.05","161.33","163.44","159.85","2.08M","-1.00%"
"2022년 04월 26일","161.67","166.60","167.08","161.60","899.61K","-2.98%"
"2022년 04월 25일","166.64","166.01","167.39","164.70","1.18M","-0.13%"
"2022년 04월 22일","166.85","169.19","170.18","166.76","829.82K","-1.53%"
"2022년 04월 21일","169.44","173.11","173.62","168.70","1.04M","-1.95%"
"2022년 04월 20일","172.81","179.50","179.50","171.73","1.26M","-4.55%"
"2022년 04월 19일","181.04","177.79","181.20","177.79","629.57K","1.51%"
"2022년 04월 18일","178.34","177.53","178.84","176.65","445.26K","-0.12%"
"2022년 04월 14일","178.55","181.71","182.37","178.43","426.55K","-1.57%"
"2022년 04월 13일","181.39","180.48","181.80","179.00","395.77K","0.74%"
"2022년 04월 12일","180.06","183.10","184.29","179.20","665.80K","-1.24%"
"2022년 04월 11일","182.33","182.38","183.23","179.19","818.38K","-0.59%"
"2022년 04월 08일","183.42","183.94","184.47","182.31","576.62K","0.23%"
"2022년 04월 07일","183.00","182.85","183.86","181.63","659.13K","-0.32%"
"2022년 04월 06일","183.58","180.40","184.17","179.57","882.71K","0.85%"
"2022년 04월 05일","182.04","181.92","184.68","181.72","838.18K","-0.18%"
"2022년 04월 04일","182.36","182.23","183.35","181.00","873.78K","0.24%"
"2022년 04월 01일","181.92","179.82","182.08","178.15","636.81K","2.09%"
"2022년 03월 31일","178.20","182.60","183.88","177.88","1.08M","-2.02%"
"2022년 03월 30일","181.88","180.96","182.80","180.20","826.01K","0.31%"
"2022년 03월 29일","181.32","178.74","182.10","178.72","769.59K","2.13%"
"2022년 03월 28일","177.54","175.03","177.63","175.02","440.10K","1.29%"
"2022년 03월 25일","175.28","175.31","176.02","174.20","463.66K","0.37%"
"2022년 03월 24일","174.63","174.67","175.29","173.35","335.61K","0.28%"
"2022년 03월 23일","174.14","177.15","177.15","174.03","494.34K","-1.90%"
"2022년 03월 22일","177.51","178.00","178.43","175.93","687.43K","-0.07%"
"2022년 03월 21일","177.64","179.23","179.46","176.65","523.89K","-0.89%"
"2022년 03월 18일","179.23","176.64","179.92","176.19","949.60K","1.78%"
"2022년 03월 17일","176.10","173.30","176.15","172.90","511.13K","1.60%"
"2022년 03월 16일","173.32","170.78","174.10","169.42","578.82K","2.21%"
"2022년 03월 15일","169.58","167.88","170.04","166.97","705.75K","1.80%"
"2022년 03월 14일","166.58","166.09","167.77","165.22","1.06M","1.04%"
"2022년 03월 11일","164.87","168.06","168.46","164.82","706.20K","-0.97%"
"2022년 03월 10일","166.48","166.36","167.30","162.58","879.05K","-1.30%"
"2022년 03월 09일","168.67","168.41","169.71","166.54","891.27K","2.22%"
"2022년 03월 08일","165.00","167.26","168.93","162.44","1.58M","-2.00%"
"2022년 03월 07일","168.37","171.32","172.00","168.07","1.22M","-1.84%"
"2022년 03월 04일","171.53","171.48","171.68","169.12","1.14M","-0.55%"
"2022년 03월 03일","172.48","173.29","173.71","171.09","577.11K","0.24%"
"2022년 03월 02일","172.07","171.37","173.73","170.48","773.92K","1.22%"
"2022년 03월 01일","169.99","170.99","172.13","168.96","772.32K","-0.68%"
"2022년 02월 28일","171.15","170.62","172.76","169.59","1.09M","-0.91%"
"2022년 02월 25일","172.72","170.86","173.21","170.45","954.57K","1.49%"
"2022년 02월 24일","170.19","161.31","170.96","161.00","1.20M","1.19%"
"2022년 02월 23일","168.19","170.17","171.61","167.62","844.81K","-0.46%"
"2022년 02월 22일","168.97","168.52","171.76","168.33","1.06M","-1.50%"
"2022년 02월 18일","171.54","171.82","173.22","170.18","1.56M","-0.20%"
"2022년 02월 17일","171.88","173.87","174.13","171.62","718.06K","-1.59%"
"2022년 02월 16일","174.66","174.47","175.53","173.23","672.65K","-0.22%"
"2022년 02월 15일","175.04","174.98","176.34","174.24","758.00K","1.81%"
"2022년 02월 14일","171.93","172.64","173.59","170.75","876.18K","-0.26%"
"2022년 02월 11일","172.37","177.19","177.59","171.88","1.10M","-2.71%"
"2022년 02월 10일","177.18","176.49","180.61","175.68","797.31K","-1.37%"
"2022년 02월 09일","179.65","180.09","182.71","178.20","960.12K","1.01%"
"2022년 02월 08일","177.86","177.77","178.52","174.68","727.36K","-0.41%"
"2022년 02월 07일","178.59","180.66","181.00","178.00","813.28K","-0.02%"
"2022년 02월 04일","178.62","177.74","180.86","177.26","820.03K","0.33%"
"2022년 02월 03일","178.03","180.22","181.00","177.85","641.44K","-2.39%"
"2022년 02월 02일","182.38","180.78","182.76","180.57","811.73K","1.25%"
"2022년 02월 01일","180.13","179.77","180.74","177.94","885.03K","0.51%"
