"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2021년 04월 30일","63.58","64.88","64.95","63.08","400.52K","-2.20%"
"2021년 04월 29일","65.01","63.70","65.47","63.65","384.49K","1.80%"
"2021년 04월 28일","63.86","63.04","64.53","62.67","387.68K","1.46%"
"2021년 04월 27일","62.94","61.97","63.30","61.91","361.54K","1.66%"
"2021년 04월 26일","61.91","62.06","62.31","60.66","366.87K","-0.37%"
"2021년 04월 23일","62.14","61.65","62.43","61.25","345.41K","1.16%"
"2021년 04월 22일","61.43","61.11","61.87","60.61","344.70K","0.13%"
"2021년 04월 21일","61.35","62.39","62.56","60.86","431.49K","-1.75%"
"2021년 04월 20일","62.44","63.47","64.25","61.50","33.04K","-1.48%"
"2021년 04월 19일","63.38","62.98","63.63","62.63","74.38K","0.40%"
"2021년 04월 16일","63.13","63.32","63.88","62.83","87.80K","-0.52%"
"2021년 04월 15일","63.46","62.83","63.57","62.53","243.37K","0.49%"
"2021년 04월 14일","63.15","60.44","63.44","60.38","419.81K","4.94%"
"2021년 04월 13일","60.18","59.64","60.59","59.64","349.73K","0.80%"
"2021년 04월 12일","59.70","59.35","60.77","58.73","410.22K","0.64%"
"2021년 04월 09일","59.32","59.76","59.95","59.10","351.44K","-0.47%"
"2021년 04월 08일","59.60","59.52","59.93","58.82","419.91K","-0.28%"
"2021년 04월 07일","59.77","59.26","60.04","58.12","475.54K","0.74%"
"2021년 04월 06일","59.33","58.80","60.90","58.62","457.35K","1.16%"
"2021년 04월 05일","58.65","61.50","61.50","57.63","438.86K","-4.56%"
"2021년 04월 01일","61.45","59.49","61.75","58.86","605.57K","3.87%"
"2021년 03월 31일","59.16","60.45","61.17","58.85","414.16K","-2.30%"
"2021년 03월 30일","60.55","61.96","62.27","59.94","388.19K","-1.64%"
"2021년 03월 29일","61.56","60.93","61.77","59.41","449.36K","0.97%"
"2021년 03월 26일","60.97","58.48","61.36","58.32","472.00K","4.12%"
"2021년 03월 25일","58.56","60.80","60.86","57.44","580.11K","-4.28%"
"2021년 03월 24일","61.18","57.40","61.34","57.29","566.29K","5.92%"
"2021년 03월 23일","57.76","61.28","61.35","57.25","712.32K","-6.16%"
"2021년 03월 22일","61.55","61.55","61.90","60.39","28.26K","0.21%"
"2021년 03월 19일","61.42","59.56","61.72","58.94","84.17K","2.37%"
"2021년 03월 18일","60.00","64.42","64.82","58.20","143.60K","-7.12%"
"2021년 03월 17일","64.60","64.75","65.34","63.60","254.72K","-0.31%"
"2021년 03월 16일","64.80","65.33","65.43","63.80","317.54K","-0.90%"
"2021년 03월 15일","65.39","65.56","66.40","64.13","378.01K","-0.34%"
"2021년 03월 12일","65.61","65.96","66.24","65.41","321.71K","-0.62%"
"2021년 03월 11일","66.02","64.70","66.21","64.54","441.06K","2.45%"
"2021년 03월 10일","64.44","63.84","64.96","63.13","498.49K","0.67%"
"2021년 03월 09일","64.01","64.73","65.98","63.63","554.56K","-1.60%"
"2021년 03월 08일","65.05","66.68","67.98","64.57","533.38K","-1.57%"
"2021년 03월 05일","66.09","64.16","66.42","63.82","573.17K","3.54%"
"2021년 03월 04일","63.83","61.08","64.86","60.52","694.63K","4.16%"
"2021년 03월 03일","61.28","59.55","61.99","59.24","465.31K","2.56%"
"2021년 03월 02일","59.75","60.23","61.21","59.38","464.13K","-1.47%"
"2021년 03월 01일","60.64","61.95","62.92","59.96","456.68K","-1.40%"
"2021년 02월 26일","61.50","63.46","63.57","61.34","472.72K","-3.20%"
"2021년 02월 25일","63.53","63.39","63.81","62.65","510.36K","0.49%"
"2021년 02월 24일","63.22","61.29","63.51","60.97","489.93K","2.51%"
"2021년 02월 23일","61.67","62.16","63.00","60.67","570.68K","0.29%"
"2021년 02월 22일","61.49","58.88","61.84","58.82","37.04K","3.80%"
"2021년 02월 19일","59.24","60.20","60.29","58.59","102.43K","-2.12%"
"2021년 02월 18일","60.52","61.68","62.26","59.79","132.04K","-1.01%"
"2021년 02월 17일","61.14","60.24","61.73","59.43","335.42K","1.82%"
"2021년 02월 16일","60.05","59.98","60.95","59.33","602.33K","-0.07%"
"2021년 02월 15일","60.09","60.36","60.95","59.96","-","-0.46%"
"2021년 02월 14일","60.37","60.01","60.75","60.01","-","1.51%"
"2021년 02월 12일","59.47","57.94","59.82","57.41","480.82K","2.11%"
"2021년 02월 11일","58.24","58.40","58.71","57.84","380.45K","-0.75%"
"2021년 02월 10일","58.68","58.45","58.91","58.08","457.54K","0.55%"
"2021년 02월 09일","58.36","58.11","58.62","57.27","514.70K","0.67%"
"2021년 02월 08일","57.97","57.06","58.14","57.00","399.72K","1.97%"
"2021년 02월 05일","56.85","56.46","57.29","56.43","400.83K","1.10%"
"2021년 02월 04일","56.23","55.96","56.58","55.30","381.40K","0.97%"
"2021년 02월 03일","55.69","55.05","56.33","54.81","448.69K","1.70%"
"2021년 02월 02일","54.76","53.48","55.26","53.45","463.72K","2.26%"
"2021년 02월 01일","53.55","51.99","53.74","51.64","416.07K","2.59%"
