"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2022년 04월 29일","4.4085","4.4440","4.5120","4.3715","49.49K","-0.56%"
"2022년 04월 28일","4.4335","4.4645","4.4935","4.3865","50.92K","-0.93%"
"2022년 04월 27일","4.4750","4.4155","4.5145","4.4155","71.22K","0.25%"
"2022년 04월 26일","4.4640","4.4995","4.5445","4.4080","58.65K","-0.18%"
"2022년 04월 25일","4.4720","4.6020","4.6220","4.4300","75.15K","-2.82%"
"2022년 04월 22일","4.6020","4.7010","4.7235","4.5890","40.30K","-2.55%"
"2022년 04월 21일","4.7225","4.6865","4.7355","4.6545","31.52K","1.01%"
"2022년 04월 20일","4.6755","4.7215","4.7310","4.6465","30.34K","-1.35%"
"2022년 04월 19일","4.7395","4.8225","4.8285","4.7015","29.60K","-1.70%"
"2022년 04월 18일","4.8215","4.7600","4.8600","4.7055","16.55K","2.14%"
"2022년 04월 15일","4.7205","4.7205","4.7205","4.7205","-","-0.43%"
"2022년 04월 14일","4.7410","4.7170","4.7580","4.6850","15.69K","0.22%"
"2022년 04월 13일","4.7305","4.7110","4.7710","4.6920","27.14K","0.06%"
"2022년 04월 12일","4.7275","4.6455","4.7420","4.6415","31.71K","1.68%"
"2022년 04월 11일","4.6495","4.7420","4.7500","4.6395","36.20K","-1.86%"
"2022년 04월 08일","4.7375","4.7240","4.7750","4.7125","27.08K","0.61%"
"2022년 04월 07일","4.7090","4.7100","4.7370","4.6810","23.28K","-0.77%"
"2022년 04월 06일","4.7455","4.7705","4.7930","4.7055","16.34K","-1.17%"
"2022년 04월 05일","4.8015","4.7860","4.8615","4.7585","9.27K","0.31%"
"2022년 04월 04일","4.7865","4.7130","4.8130","4.6950","10.40K","1.97%"
"2022년 04월 01일","4.6940","4.7245","4.7565","4.6750","13.63K","-1.29%"
"2022년 03월 31일","4.7555","4.7510","4.7725","4.7095","10.40K","0.02%"
"2022년 03월 30일","4.7545","4.7550","4.8235","4.7305","12.25K","0.45%"
"2022년 03월 29일","4.7330","4.7235","4.7590","4.7005","7.01K","0.10%"
"2022년 03월 28일","4.7285","4.6910","4.7425","4.6445","7.44K","0.61%"
"2022년 03월 25일","4.7000","4.7300","4.7700","4.6870","5.15K","-0.91%"
"2022년 03월 24일","4.7430","4.7730","4.8130","4.7095","7.50K","-0.66%"
"2022년 03월 23일","4.7745","4.7085","4.7830","4.6905","6.64K","1.59%"
"2022년 03월 22일","4.7000","4.7025","4.7650","4.6800","5.71K","-0.21%"
"2022년 03월 21일","4.7100","4.7170","4.7260","4.6545","4.28K","-0.50%"
"2022년 03월 18일","4.7335","4.6955","4.7530","4.6700","6.43K","0.81%"
"2022년 03월 17일","4.6955","4.6135","4.7110","4.6070","5.83K","2.12%"
"2022년 03월 16일","4.5980","4.5015","4.6365","4.5010","3.97K","1.88%"
"2022년 03월 15일","4.5130","4.5105","4.5415","4.4710","9.07K","-0.19%"
"2022년 03월 14일","4.5215","4.5905","4.6035","4.4950","9.68K","-2.11%"
"2022년 03월 11일","4.6190","4.6270","4.7050","4.5890","5.27K","-0.52%"
"2022년 03월 10일","4.6430","4.5850","4.6655","4.5660","6.51K","1.73%"
"2022년 03월 09일","4.5640","4.7015","4.7790","4.5450","9.10K","-2.91%"
"2022년 03월 08일","4.7010","4.7285","4.9425","4.5925","11.62K","-0.38%"
"2022년 03월 07일","4.7190","4.8965","5.0100","4.6600","15.75K","-3.94%"
"2022년 03월 04일","4.9125","4.7705","4.9220","4.7375","15.91K","3.02%"
"2022년 03월 03일","4.7685","4.6645","4.7810","4.6550","14.23K","2.31%"
"2022년 03월 02일","4.6610","4.5690","4.6975","4.5500","8.65K","1.45%"
"2022년 03월 01일","4.5945","4.5010","4.6000","4.4900","8.38K","3.15%"
"2022년 02월 28일","4.4540","4.4800","4.5300","4.4505","9.93K","-0.66%"
"2022년 02월 25일","4.4835","4.5050","4.5250","4.4535","8.58K","0.58%"
"2022년 02월 24일","4.4575","4.4700","4.5835","4.4450","5.95K","-0.61%"
"2022년 02월 23일","4.4850","4.5100","4.5480","4.4545","6.95K","-0.61%"
"2022년 02월 22일","4.5125","4.5110","4.5435","4.4720","7.25K","0.71%"
"2022년 02월 21일","4.4805","4.5205","4.5440","4.4675","-","-0.88%"
"2022년 02월 20일","4.5205","4.5165","4.5217","4.5060","-","-0.02%"
"2022년 02월 18일","4.5215","4.4995","4.5720","4.4995","2.98K","-0.06%"
"2022년 02월 17일","4.5240","4.5390","4.5455","4.4650","4.49K","-0.29%"
"2022년 02월 16일","4.5370","4.5330","4.5850","4.5205","4.36K","0.11%"
"2022년 02월 15일","4.5320","4.4840","4.5450","4.4755","3.91K","0.64%"
"2022년 02월 14일","4.5030","4.4600","4.5130","4.4480","5.06K","-0.02%"
"2022년 02월 11일","4.5040","4.6025","4.6050","4.4325","6.68K","-3.00%"
"2022년 02월 10일","4.6435","4.6115","4.6860","4.5665","9.31K","1.21%"
"2022년 02월 09일","4.5880","4.4635","4.6275","4.4200","11.57K","2.89%"
"2022년 02월 08일","4.4590","4.4720","4.4720","4.3985","3.84K","-0.16%"
"2022년 02월 07일","4.4660","4.5100","4.5140","4.4320","4.73K","-0.42%"
"2022년 02월 04일","4.4850","4.4845","4.5100","4.4155","2.48K","0.41%"
"2022년 02월 03일","4.4665","4.4695","4.4905","4.4180","3.04K","-0.47%"
"2022년 02월 02일","4.4875","4.4325","4.4945","4.4250","3.25K","1.37%"
"2022년 02월 01일","4.4270","4.3200","4.4370","4.3180","3.18K","2.38%"
