"날짜","종가","오픈","고가","저가","변동 %"
"2020년 05월 01일","0.618","0.630","0.648","0.594","-4.26%"
"2020년 04월 30일","0.646","0.622","0.650","0.581","2.72%"
"2020년 04월 29일","0.628","0.613","0.643","0.581","2.01%"
"2020년 04월 28일","0.616","0.665","0.673","0.594","-7.17%"
"2020년 04월 27일","0.664","0.605","0.665","0.601","9.61%"
"2020년 04월 26일","0.605","0.604","0.607","0.604","0.00%"
"2020년 04월 24일","0.605","0.605","0.621","0.579","0.40%"
"2020년 04월 23일","0.603","0.611","0.638","0.590","-2.33%"
"2020년 04월 22일","0.618","0.580","0.638","0.547","9.12%"
"2020년 04월 21일","0.566","0.616","0.623","0.543","-8.18%"
"2020년 04월 20일","0.616","0.642","0.651","0.609","-4.20%"
"2020년 04월 19일","0.643","0.643","0.643","0.643","0.25%"
"2020년 04월 17일","0.642","0.672","0.693","0.587","3.95%"
"2020년 04월 16일","0.617","0.638","0.658","0.594","-2.76%"
"2020년 04월 15일","0.635","0.746","0.752","0.618","-15.41%"
"2020년 04월 14일","0.750","0.765","0.776","0.728","-2.51%"
"2020년 04월 13일","0.770","0.725","0.776","0.719","6.11%"
"2020년 04월 12일","0.725","0.724","0.725","0.724","-0.44%"
"2020년 04월 09일","0.729","0.783","0.785","0.711","-5.45%"
"2020년 04월 08일","0.771","0.717","0.779","0.695","6.08%"
"2020년 04월 07일","0.726","0.695","0.785","0.678","7.19%"
"2020년 04월 06일","0.678","0.617","0.684","0.612","10.46%"
"2020년 04월 05일","0.613","0.612","0.613","0.612","2.35%"
"2020년 04월 03일","0.599","0.611","0.623","0.568","-1.91%"
"2020년 04월 02일","0.611","0.572","0.636","0.568","1.53%"
"2020년 04월 01일","0.602","0.663","0.676","0.571","-9.88%"
"2020년 03월 31일","0.668","0.722","0.731","0.651","-8.05%"
"2020년 03월 30일","0.726","0.667","0.731","0.599","9.20%"
"2020년 03월 29일","0.665","0.667","0.667","0.665","-1.63%"
"2020년 03월 27일","0.676","0.840","0.854","0.670","-20.25%"
"2020년 03월 26일","0.848","0.827","0.859","0.770","-2.41%"
"2020년 03월 25일","0.869","0.853","0.878","0.783","1.28%"
"2020년 03월 24일","0.858","0.775","0.898","0.774","12.48%"
"2020년 03월 23일","0.763","0.791","0.879","0.692","-3.82%"
"2020년 03월 22일","0.793","0.815","0.815","0.793","-10.44%"
"2020년 03월 20일","0.885","1.125","1.283","0.849","-23.58%"
"2020년 03월 19일","1.158","1.149","1.279","1.007","-2.10%"
"2020년 03월 18일","1.183","1.044","1.266","0.989","10.73%"
"2020년 03월 17일","1.069","0.747","1.105","0.740","44.37%"
"2020년 03월 16일","0.740","0.668","0.859","0.634","8.74%"
"2020년 03월 15일","0.681","0.670","0.703","0.670","-30.75%"
"2020년 03월 13일","0.983","0.823","1.023","0.725","21.03%"
"2020년 03월 12일","0.812","0.849","0.909","0.636","-7.45%"
"2020년 03월 11일","0.877","0.759","0.895","0.638","9.71%"
"2020년 03월 10일","0.800","0.617","0.813","0.565","43.00%"
"2020년 03월 09일","0.559","0.501","0.603","0.318","11.30%"
"2020년 03월 08일","0.502","0.507","0.507","0.495","-35.02%"
"2020년 03월 06일","0.773","0.918","0.920","0.660","-15.65%"
"2020년 03월 05일","0.917","1.054","1.054","0.899","-13.13%"
"2020년 03월 04일","1.055","0.984","1.064","0.931","5.65%"
"2020년 03월 03일","0.999","1.163","1.173","0.906","-13.27%"
"2020년 03월 02일","1.152","1.105","1.168","1.030","4.43%"
"2020년 03월 01일","1.103","1.106","1.106","1.098","-5.19%"
"2020년 02월 28일","1.163","1.282","1.289","1.116","-8.68%"
"2020년 02월 27일","1.274","1.330","1.335","1.241","-4.61%"
"2020년 02월 26일","1.335","1.359","1.382","1.301","-1.48%"
"2020년 02월 25일","1.355","1.387","1.416","1.307","-1.10%"
"2020년 02월 24일","1.370","1.456","1.456","1.352","-6.95%"
"2020년 02월 23일","1.473","1.473","1.473","1.473","0.00%"
"2020년 02월 21일","1.473","1.515","1.524","1.439","-3.01%"
"2020년 02월 20일","1.519","1.578","1.585","1.507","-3.14%"
"2020년 02월 19일","1.568","1.571","1.587","1.547","0.55%"
"2020년 02월 18일","1.559","1.576","1.580","1.537","-1.19%"
"2020년 02월 17일","1.578","1.578","1.578","1.578","-0.65%"
"2020년 02월 14일","1.588","1.609","1.616","1.573","-1.90%"
"2020년 02월 13일","1.619","1.607","1.626","1.568","-1.09%"
"2020년 02월 12일","1.637","1.607","1.638","1.597","2.15%"
"2020년 02월 11일","1.602","1.573","1.604","1.571","2.53%"
"2020년 02월 10일","1.563","1.561","1.599","1.542","0.22%"
"2020년 02월 09일","1.559","1.563","1.563","1.559","-1.41%"
"2020년 02월 07일","1.582","1.644","1.649","1.571","-3.78%"
"2020년 02월 06일","1.644","1.649","1.684","1.633","-0.32%"
"2020년 02월 05일","1.649","1.604","1.661","1.575","2.90%"
"2020년 02월 04일","1.603","1.520","1.618","1.517","5.05%"
"2020년 02월 03일","1.526","1.514","1.575","1.512","0.67%"
"2020년 02월 02일","1.515","1.520","1.520","1.515","0.68%"
