"조회날짜","코드1","종목 코드","종목 명칭","종가","전일대비 등락","전일대비 등락률","시가","고가","저가","체결수량의 누적합","체결가격 * 체결수량 누적합","종가*상장좌수"
20220527,005930,KR7005930003,삼성전자,66500,600,.91,66700,66900,66200,11405555,759034579700,396990539575000
20220526,005930,KR7005930003,삼성전자,65900,-500,-.75,66300,67200,65500,15970890,1057298883100,393408670045000
20220525,005930,KR7005930003,삼성전자,66400,-100,-.15,66700,67100,65900,15150490,1007805029400,396393561320000
20220524,005930,KR7005930003,삼성전자,66500,-1400,-2.06,67500,67700,66500,15482576,1035492905500,396990539575000
20220523,005930,KR7005930003,삼성전자,67900,-100,-.15,68800,68800,67600,13684088,931341158100,405348235145000
20220520,005930,KR7005930003,삼성전자,68000,500,.74,67800,68400,67700,12109671,824048609800,405945213400000
20220519,005930,KR7005930003,삼성전자,67500,-600,-.88,66500,67600,66500,17073727,1147743790508,402960322125000
20220518,005930,KR7005930003,삼성전자,68100,500,.74,68300,68700,67600,16486319,1122585202585,406542191655000
20220517,005930,KR7005930003,삼성전자,67600,1300,1.96,66600,67900,66600,15680447,1058322764800,403557300380000
20220516,005930,KR7005930003,삼성전자,66300,-200,-.3,67100,67400,66100,11937555,796060691900,395796583065000
20220513,005930,KR7005930003,삼성전자,66500,1600,2.47,65300,66700,65200,14551536,962476162900,396990539575000
20220512,005930,KR7005930003,삼성전자,64900,-800,-1.22,65200,65500,64900,16414188,1069685385550,387438887495000
20220511,005930,KR7005930003,삼성전자,65700,0,0,65500,66300,65200,12330920,812298026600,392214713535000
20220510,005930,KR7005930003,삼성전자,65700,-400,-.61,65900,66300,65300,17235605,1132067708900,392214713535000
20220509,005930,KR7005930003,삼성전자,66100,-400,-.6,66300,66900,66100,11858736,787562955000,394602626555000
20220506,005930,KR7005930003,삼성전자,66500,-1400,-2.06,67000,67100,66500,14356156,957335193600,396990539575000
20220504,005930,KR7005930003,삼성전자,67900,400,.59,68000,68400,67500,11505248,781073326235,405348235145000
20220503,005930,KR7005930003,삼성전자,67500,200,.3,67400,68400,67300,14168875,962643054300,402960322125000
20220502,005930,KR7005930003,삼성전자,67300,-100,-.15,66600,67600,66500,14106184,946016270200,401766365615000
20220429,005930,KR7005930003,삼성전자,67400,2600,4.01,65100,67600,65000,26190390,1747030218800,402363343870000
20220428,005930,KR7005930003,삼성전자,64800,-200,-.31,65400,65500,64500,16895527,1094277578880,386841909240000
20220427,005930,KR7005930003,삼성전자,65000,-1100,-1.66,65400,65500,64900,18122084,1179918512650,388035865750000
20220426,005930,KR7005930003,삼성전자,66100,-200,-.3,66400,66700,66100,12946923,858461258448,394602626555000
20220425,005930,KR7005930003,삼성전자,66300,-700,-1.04,66500,66700,66300,11016474,731676244400,395796583065000
20220422,005930,KR7005930003,삼성전자,67000,-700,-1.03,67200,67300,66700,11791478,789392306300,399975430850000
20220421,005930,KR7005930003,삼성전자,67700,300,.45,67600,68300,67500,12847448,872983300180,404154278635000
20220420,005930,KR7005930003,삼성전자,67400,100,.15,67000,67400,66500,16693293,1116160503800,402363343870000
20220419,005930,KR7005930003,삼성전자,67300,600,.9,67100,68000,67000,12959434,876087930051,401766365615000
20220418,005930,KR7005930003,삼성전자,66700,100,.15,66500,67100,66100,10119203,675310095100,398184496085000
20220415,005930,KR7005930003,삼성전자,66600,-900,-1.33,67200,67300,66500,13176415,878858388800,397587517830000
20220414,005930,KR7005930003,삼성전자,67500,-1200,-1.75,68700,68700,67500,16409494,1112667612000,402960322125000
20220413,005930,KR7005930003,삼성전자,68700,1700,2.54,67300,69000,67200,17378619,1183210424500,410124061185000
20220412,005930,KR7005930003,삼성전자,67000,-900,-1.33,67600,67700,67000,13924389,936611863500,399975430850000
20220411,005930,KR7005930003,삼성전자,67900,100,.15,67800,68100,67400,12263735,831094572700,405348235145000
20220408,005930,KR7005930003,삼성전자,67800,-200,-.29,68100,68300,67700,15453191,1050375034852,404751256890000
20220407,005930,KR7005930003,삼성전자,68000,-500,-.73,68500,68500,68000,20683327,1409872624700,405945213400000
20220406,005930,KR7005930003,삼성전자,68500,-700,-1.01,68600,68800,68500,15517308,1064606110092,408930104675000
20220405,005930,KR7005930003,삼성전자,69200,-100,-.14,69400,69600,69100,8467248,586498194900,413108952460000
20220404,005930,KR7005930003,삼성전자,69300,200,.29,68900,69300,68600,11107905,766930294459,413705930715000
20220401,005930,KR7005930003,삼성전자,69100,-500,-.72,69500,69500,69000,15916846,1100422376400,412511974205000
20220331,005930,KR7005930003,삼성전자,69600,-300,-.43,69900,70200,69600,12510366,873212583300,415496865480000
20220330,005930,KR7005930003,삼성전자,69900,-300,-.43,70300,70500,69800,12670187,887514318650,417287800245000
20220329,005930,KR7005930003,삼성전자,70200,500,.72,70000,70300,69800,13686208,958589509700,419078735010000
20220328,005930,KR7005930003,삼성전자,69700,-100,-.14,69500,69900,69200,12619289,878172199900,416093843735000
20220325,005930,KR7005930003,삼성전자,69800,0,0,70100,70200,69600,12986010,906006321000,416690821990000
20220324,005930,KR7005930003,삼성전자,69800,-700,-.99,69600,70300,69600,37943357,2628885553700,416690821990000
20220323,005930,KR7005930003,삼성전자,70500,200,.28,70600,71200,70300,12398025,875833161100,420869669775000
20220322,005930,KR7005930003,삼성전자,70300,400,.57,69900,70500,69900,9402666,660385691100,419675713265000
20220321,005930,KR7005930003,삼성전자,69900,-800,-1.13,70900,71000,69900,11169002,784175429300,417287800245000
20220318,005930,KR7005930003,삼성전자,70700,-500,-.7,70600,70900,70200,14410038,1017183110700,422063626285000
20220317,005930,KR7005930003,삼성전자,71200,800,1.14,71200,71800,70900,17646315,1258698481050,425048517560000
20220316,005930,KR7005930003,삼성전자,70400,900,1.29,70200,70500,69700,10175750,713364992981,420272691520000
20220315,005930,KR7005930003,삼성전자,69500,-700,-1,69800,70100,69500,10258562,715550312992,414899887225000
20220314,005930,KR7005930003,삼성전자,70200,200,.29,70000,70200,69600,9040993,632752468500,419078735010000
20220311,005930,KR7005930003,삼성전자,70000,-1200,-1.69,70500,70700,69700,15787655,1105586321900,417884778500000
20220310,005930,KR7005930003,삼성전자,71200,1700,2.45,70800,71200,70500,21159248,1500935516076,425048517560000
20220308,005930,KR7005930003,삼성전자,69500,-600,-.86,68800,70000,68700,15828269,1100279437100,414899887225000
20220307,005930,KR7005930003,삼성전자,70100,-1400,-1.96,70000,70600,69900,18617138,1305288850400,418481756755000
20220304,005930,KR7005930003,삼성전자,71500,-1400,-1.92,72700,72700,71200,13409634,960572417800,426839452325000
20220303,005930,KR7005930003,삼성전자,72900,1200,1.67,72300,73100,72200,13232638,962676478940,435197147895000
20220302,005930,KR7005930003,삼성전자,71700,-400,-.55,72300,72400,71500,12481430,897368743880,428033408835000
20220228,005930,KR7005930003,삼성전자,72100,200,.28,71100,72100,71000,17781783,1272250751300,430421321855000
20220225,005930,KR7005930003,삼성전자,71900,400,.56,72100,72600,71900,13168484,950762004400,429227365345000
20220224,005930,KR7005930003,삼성전자,71500,-1500,-2.05,72300,72300,71300,15759283,1130166428800,426839452325000
